Text,IsMeaningful
"nmmnnm",0
"bvvbvb",0
"cxzcxz",0
"fdsfds",0
"rewrew",0
"yuiyui",0
"opopop",0
"1234567890",0
"0987654321",0
"!!!",0
"???",0
"...",0
",,,",0
"///",0
"\\\\\\",0
"---",0
"___",0
"+++",0
"===",0
"***",0
"&&&",0
"^^^",0
"%%%",0
"$$$",0
"###",0
"@@@",0
"!!!???",0
"???!!!",0
"!!!...",0
"...!!!",0
"???...",0
"...???",0
"asdf123",0
"qwer456",0
"zxcv789",0
"123asdf",0
"456qwer",0
"789zxcv",0
"a1s2d3f4",0
"q1w2e3r4",0
"z1x2c3v4",0
"1a2s3d4f",0
"1q2w3e4r",0
"1z2x3c4v",0
"asdfghjklşi,.",0
"qwertyuıopğü",0
"zxcvbnmöç.",0
"asdf ghjk lşi",0
"qwer tyuı opğü",0
"zxcv bnmö ç.",0
"a s d f g",0
"q w e r t",0
"z x c v b",0
"1 2 3 4 5",0
"! ' ^ + %",0
"& / ( ) =",0
"? _ * -",0
"xoxoxoxo",0
"abacabac",0
"xyxyxyxy",0
"jklşi",0
"iopğü",0
"nmöç.",0
"ghjkl",0
"tyuıo",0
"bnmöç",0
"fghjk",0
"rtyuı",0
"vbnmö",0
"dfghj",0
"ertyu",0
"cvbnm",0
"sdfgh",0
"werty",0
"xcvbn",0
"asdfg",0
"qwert",0
"zxcvb",0
"kjhgfdsa",0
"poiuytrewq",0
"mnbvcxz",0
"lkjhgfdsa",0
"0987654321",0
"9876543210",0
"qazwsx",0
"edcrfv",0
"tgbzxc",0
"plmkoij",0
"uhbvcx",0
"ygbtfv",0
"rdcesx",0
"waqzxc",0
"sxdcfv",0
"fvtgby",0
"hnuikm",0
"mkoijb",0
"vgybh",0
"unji",0
"mko",0
"plm",0
"qaz",0
"wsx",0
"edc",0
"rfv",0
"tgb",0
"yhn",0
"ujm",0
"ikl",0
"oip",0
"asd",0
"fgh",0
"jkl",0
"qwe",0
"rty",0
"uio",0
"zxc",0
"vbn",0
"mkl",0
"poı",0
"uyt",0
"rew",0
"mnb",0
"vcxz",0
"lkj",0
"hgf",0
"dsa",0
